task_id,text,code,test_list,test_setup_code,challenge_test_list,function_name,codegen_prompt,pred_code
11,Write a python function to remove first and last occurrence of a given character from the string.,"def remove_Occ(s,ch): 
    for i in range(len(s)): 
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    for i in range(len(s) - 1,-1,-1):  
        if (s[i] == ch): 
            s = s[0 : i] + s[i + 1:] 
            break
    return s ","['assert remove_Occ(""hello"",""l"") == ""heo""'
 'assert remove_Occ(""abcda"",""a"") == ""bcd""'
 'assert remove_Occ(""PHP"",""P"") == ""H""']",,"['assert remove_Occ(""hellolloll"",""l"") == ""helollol""'
 'assert remove_Occ("""",""l"") == """"']",remove_Occ,"
<question>
Write a python function to remove first and last occurrence of a given character from the string.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: remove_Occ</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def remove_Occ(s, c):
    """"""
    Removes the first and last occurrence of a given character from the string.
    
    Parameters:
    s (str): The input string.
    c (str): The character to be removed.
    
    Returns:
    str: The string with the first and last occurrence of the character removed.
    """"""
    s = list(s)
    try:
        s.remove(c)
    except ValueError:
        pass
    s.reverse()
    try:
        s.remove(c)
    except ValueError:
        pass
    s.reverse()
    return ''.join(s)"
12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"def sort_matrix(M):
    result = sorted(M, key=sum)
    return result","['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]'
 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]'
 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']",,[],sort_matrix,"
<question>
Write a function to sort a given matrix in ascending order according to the sum of its rows.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: sort_matrix</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def sort_matrix(matrix):
    """"""
    This function sorts a given matrix in ascending order according to the sum of its rows.

    Args:
        matrix (list): A 2D list representing the matrix.

    Returns:
        list: A 2D list representing the sorted matrix.
    """"""
    return sorted(matrix, key=sum)"
13,Write a function to count the most common words in a dictionary.,"from collections import Counter
def count_common(words):
  word_counts = Counter(words)
  top_four = word_counts.most_common(4)
  return (top_four)
","['assert count_common([\'red\',\'green\',\'black\',\'pink\',\'black\',\'white\',\'black\',\'eyes\',\'white\',\'black\',\'orange\',\'pink\',\'pink\',\'red\',\'red\',\'white\',\'orange\',\'white\',""black"",\'pink\',\'green\',\'green\',\'pink\',\'green\',\'pink\',\'white\',\'orange\',""orange"",\'red\']) == [(\'pink\', 6), (\'black\', 5), (\'white\', 5), (\'red\', 4)]'
 ""assert count_common(['one', 'two', 'three', 'four', 'five', 'one', 'two', 'one', 'three', 'one']) == [('one', 4), ('two', 2), ('three', 2), ('four', 1)]""
 ""assert count_common(['Facebook', 'Apple', 'Amazon', 'Netflix', 'Google', 'Apple', 'Netflix', 'Amazon']) == [('Apple', 2), ('Amazon', 2), ('Netflix', 2), ('Facebook', 1)]""]",,[],count_common,"
<question>
Write a function to count the most common words in a dictionary.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: count_common</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","from collections import Counter
import re

def count_common(dictionary):
    """"""
    This function counts the most common words in a given dictionary.

    Args:
    dictionary (str or list): A string or list of words.

    Returns:
    dict: A dictionary with the most common words and their frequencies.
    """"""
    if isinstance(dictionary, str):
        # Remove non-word characters and convert to lower case
        words = re.findall(r'\b\w+\b', dictionary.lower())
    elif isinstance(dictionary, list):
        words = [word.lower() for word in dictionary]
    else:
        raise ValueError(""Invalid input type. Only string and list are supported."")

    # Count the frequency of each word
    word_counts = Counter(words)

    return dict(word_counts)"
14,Write a python function to find the volume of a triangular prism.,"def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ","['assert find_Volume(10,8,6) == 240' 'assert find_Volume(3,2,2) == 6'
 'assert find_Volume(1,2,1) == 1']",,[],find_Volume,"
<question>
Write a python function to find the volume of a triangular prism.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: find_Volume</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def find_Volume(base_length, base_width, height):
    """"""
    Calculate the volume of a triangular prism.

    Parameters:
    base_length (float): The length of the base of the prism.
    base_width (float): The width of the base of the prism.
    height (float): The height of the prism.

    Returns:
    float: The volume of the triangular prism.
    """"""
    # Calculate the area of the base
    base_area = 0.5 * base_length * base_width

    # Calculate the volume
    volume = base_area * height

    return volume"
15,Write a function to split a string at lowercase letters.,"import re
def split_lowerstring(text):
 return (re.findall('[a-z][^a-z]*', text))","['assert split_lowerstring(""AbCd"")==[\'bC\',\'d\']'
 'assert split_lowerstring(""Python"")==[\'y\', \'t\', \'h\', \'o\', \'n\']'
 'assert split_lowerstring(""Programming"")==[\'r\', \'o\', \'g\', \'r\', \'a\', \'m\', \'m\', \'i\', \'n\', \'g\']']",,[],split_lowerstring,"
<question>
Write a function to split a string at lowercase letters.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: split_lowerstring</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def split_lowerstring(input_string):
    """"""
    This function splits a given string at lowercase letters.
    
    Parameters:
    input_string (str): The input string to be split.
    
    Returns:
    list: A list of strings split at lowercase letters.
    """"""
    result = []
    current = """"
    
    for char in input_string:
        if char.islower():
            if current:
                result.append(current)
            current = char
        else:
            current += char
    
    if current:
        result.append(current)
    
    return result"
16,Write a function to find sequences of lowercase letters joined with an underscore.,"import re
def text_lowercase_underscore(text):
        patterns = '^[a-z]+_[a-z]+$'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","['assert text_lowercase_underscore(""aab_cbbbc"")==(\'Found a match!\')'
 'assert text_lowercase_underscore(""aab_Abbbc"")==(\'Not matched!\')'
 'assert text_lowercase_underscore(""Aaab_abbbc"")==(\'Not matched!\')']",,"['assert text_lowercase_underscore(""aab-cbbbc"")==(\'Not matched!\')']",text_lowercase_underscore,"
<question>
Write a function to find sequences of lowercase letters joined with an underscore.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: text_lowercase_underscore</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","import re

def text_lowercase_underscore(text):
    """"""
    This function finds sequences of lowercase letters joined with an underscore.
    
    Args:
        text (str): Input string that may contain lowercase letters joined with an underscore.
    
    Returns:
        list: A list of sequences of lowercase letters joined with an underscore.
    """"""
    # Use regular expression to find sequences of lowercase letters joined with an underscore
    pattern = r'[a-z_]+'
    return re.findall(pattern, text)
```

Alternatively, you can use a more complex pattern to only find sequences where at least one underscore is present:

```python
import re

def text_lowercase_underscore(text):
    """"""
    This function finds sequences of lowercase letters joined with an underscore.
    
    Args:
        text (str): Input string that may contain lowercase letters joined with an underscore.
    
    Returns:
        list: A list of sequences of lowercase letters joined with an underscore.
    """"""
    # Use regular expression to find sequences of lowercase letters joined with an underscore
    pattern = r'[a-z]+_[a-z_]+'
    return re.findall(pattern, text)"
17,Write a function to find the perimeter of a square.,"def square_perimeter(a):
  perimeter=4*a
  return perimeter","['assert square_perimeter(10)==40' 'assert square_perimeter(5)==20'
 'assert square_perimeter(4)==16']",,[],square_perimeter,"
<question>
Write a function to find the perimeter of a square.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: square_perimeter</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def square_perimeter(side_length: float) -> float:
    """"""
    Calculate the perimeter of a square.

    Args:
    side_length (float): The length of one side of the square.

    Returns:
    float: The perimeter of the square.
    """"""
    return 4 * side_length"
18,Write a function to remove characters from the first string which are present in the second string.,"NO_OF_CHARS = 256
def str_to_list(string): 
	temp = [] 
	for x in string: 
		temp.append(x) 
	return temp 
def lst_to_string(List): 
	return ''.join(List) 
def get_char_count_array(string): 
	count = [0] * NO_OF_CHARS 
	for i in string: 
		count[ord(i)] += 1
	return count 
def remove_dirty_chars(string, second_string): 
	count = get_char_count_array(second_string) 
	ip_ind = 0
	res_ind = 0
	temp = '' 
	str_list = str_to_list(string) 
	while ip_ind != len(str_list): 
		temp = str_list[ip_ind] 
		if count[ord(temp)] == 0: 
			str_list[res_ind] = str_list[ip_ind] 
			res_ind += 1
		ip_ind+=1
	return lst_to_string(str_list[0:res_ind]) ","['assert remove_dirty_chars(""probasscurve"", ""pros"") == \'bacuve\''
 'assert remove_dirty_chars(""digitalindia"", ""talent"") == \'digiidi\''
 'assert remove_dirty_chars(""exoticmiles"", ""toxic"") == \'emles\' ']",,[],remove_dirty_chars,"
<question>
Write a function to remove characters from the first string which are present in the second string.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: remove_dirty_chars</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def remove_dirty_chars(s1, s2):
    """"""
    Removes characters from the first string which are present in the second string.

    Args:
        s1 (str): The original string.
        s2 (str): The string containing characters to be removed.

    Returns:
        str: The modified string with characters from s2 removed.
    """"""
    # Create a translation table that maps characters in s2 to None
    translation_table = str.maketrans('', '', s2)
    
    # Use the translation table to remove characters from s1
    return s1.translate(translation_table)"
19,Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","['assert test_duplicate(([1,2,3,4,5]))==False'
 'assert test_duplicate(([1,2,3,4, 4]))==True'
 'assert test_duplicate([1,1,2,2,3,3,4,4,5])==True']",,[],test_duplicate,"
<question>
Write a function to find whether a given array of integers contains any duplicate element.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: test_duplicate</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def test_duplicate(arr):
    return len(arr) != len(set(arr))"
20,Write a function to check if the given number is woodball or not.,"def is_woodall(x): 
	if (x % 2 == 0): 
		return False
	if (x == 1): 
		return True
	x = x + 1 
	p = 0
	while (x % 2 == 0): 
		x = x/2
		p = p + 1
		if (p == x): 
			return True
	return False","['assert is_woodall(383) == True' 'assert is_woodall(254) == False'
 'assert is_woodall(200) == False']",,"['assert is_woodall(32212254719) == True'
 'assert is_woodall(32212254718) == False'
 'assert is_woodall(159) == True']",is_woodall,"
<question>
Write a function to check if the given number is woodball or not.
</question>

<additional_instructions>
    <instruction>The name of the function of your program that serves as the entry point should be named: is_woodall</instruction>
    <instruction>The output format should be a valid Python code. </instruction>
    <instruction>Do not include any unit tests or example usage.</instruction>
    <instruction>Do not include any uncommented non-code text that will crash the program when it's ran.</instruction>
</additional_instructions>
","def is_woodall(n):
    """"""
    Checks if a given number is a Woodall number.

    A Woodall number is a number of the form Wn = n*2^n - 1 where n is a positive integer.
    This function calculates the Woodall number for a given n and checks if it matches the input.

    Args:
        n (int): The number to check.

    Returns:
        bool: True if the number is a Woodall number, False otherwise.
    """"""

    # Check if n is a positive integer
    if not isinstance(n, int) or n <= 0:
        return False

    # Calculate the Woodall number for n
    woodall_num = n * (2 ** n) - 1

    # Check if the given number matches the calculated Woodall number
    return n == woodall_num"
